,Ecuador,Brazil,Spain,United States,Chile,Colombia,"Madrid Area, Spain",Mexico,Panama,Greater New York City Area,Afghanistan,"Euclides da Cunha Area, Brazil","Campinas Area, Brazil","Belo Horizonte Area, Brazil","São Paulo Area, Brazil",Canada,"Vancouver, Canada Area","Johnstown, Pennsylvania Area",Greater Los Angeles Area,"Pensacola, Florida Area",Venezuela,"Zulia Area, Venezuela",Peru,"Quebec, Canada",Guatemala,Argentina,"Montreal, Canada Area","Chihuahua Area, Mexico","British Columbia, Canada",Guatemala area,China,Burkina Faso,"Curitiba Area, Brazil",French Guiana,"Querétaro Area, Mexico",Nigeria,Greater Atlanta Area,"Orlando, Florida Area",Vietnam,"Cundinamarca Area, Colombia","Nariño Area, Colombia","Houston, Texas Area",Other,"San Miguel Province, Peru",Andorra,"Greater Buenos Aires, Argentina",Belgium,"Antwerp Area, Belgium","Taubaté Area, Brazil",Honduras,"Bogotá D.C. Area, Colombia","Antioquia Area, Colombia","Risaralda Area, Colombia","Santander Area, Colombia","Córdoba Area, Colombia","Ecatepec Area, Mexico","Tampico Area, Mexico","Pamplona Area, Spain","Ciudad Nezahualcóyotl Area, Mexico","Tuxtla Gutiérrez Area, Mexico","Aragua Area, Venezuela",United Kingdom,Italy,Angola,Albania,Dominica,"Barcelona Area, Spain",Indonesia,Iran,"Milan Area, Italy","Guadalajara Area, Mexico",India,Saudi Arabia,Malaysia,France,United Arab Emirates,Algeria,Egypt,"Kalyan Area, India",Australia,Morocco,"Bendigo, Australia","Melbourne, Australia","Brisbane, Australia",Costa Rica,Germany,"Toluca Area, Mexico",Uruguay,"Valle del Cauca Area, Colombia",Cuba,"Mexico City Area, Mexico","Granada Area, Spain","Ourense Area, Spain","Valencia Area, Spain","Turin Area, Italy",Pakistan,"Mumbai Area, India",Senegal,Dominican Republic,"Sydney, Australia",El Salvador,Turkey,"Brussels Area, Belgium",Bolivia,"Petrolina Area, Brazil","Morelia Area, Mexico","Murcia Area, Spain",Czech Republic,"Prague, The Capital, Czech Republic",Netherlands,"Amsterdam Area, Netherlands",Singapore,"Lincoln, Nebraska Area","João Pessoa Area, Brazil","Beijing City, China","Dongguan, Guangdong, China","Veracruz Area, Mexico","Greater Nashville Area, TN","Antofagasta Province, Chile","Ottawa, Canada Area","Santiago Province, Chile",Miami/Fort Lauderdale Area,Nicaragua,"Ciudad Real, Spain","Palma Area, Spain","Bilbao Area, Spain",San Francisco Bay Area,"Vigo Area, Spain","Mazatlán Area, Mexico","Utrecht Area, Netherlands","Reggio Calabria Area, Italy","West Palm Beach, Florida Area",Ireland,"San Juan Province, Argentina","Mendoza Province, Argentina","London, United Kingdom","Valparaíso Province, Chile","Concepción Province, Chile","Magallanes Province, Chile","Santa Cruz Province, Argentina","Tierra del Fuego Province, Argentina","Llanquihue Province, Chile","Tlaquepaque Area, Mexico","Catamarca Province, Argentina","Rest of Shandong, China","Zarumilla Province, Peru","Cañete Province, Peru","Corrientes Province, Argentina","Chengdu, Sichuan, China","Northern Punjab Rawalpindi, Pakistan","Xi‘an, Shaanxi, China","Federal Capial &AJK, Pakistan",Turkmenistan,Iraq,"Chongqing City, China","Monagas Area, Venezuela","Rest of Sichuan, China","Macaé Area, Brazil","Rio de Janeiro Area, Brazil","Adamantina Area, Brazil","Monterrey Area, Mexico","Tijuana Area, Mexico",Somalia,Azerbaijan,Bangladesh,"Alacant Area, Spain",Macedonia,"Jalapa Enríquez Area, Mexico","Hermosillo Area, Mexico","Coronel Portillo Province, Peru","Carabobo Area, Venezuela",Paraguay,"Málaga Area, Spain","Madurai Area, India","Meta Area, Colombia","Ciudad Real Area, Spain",Dallas/Fort Worth Area,"Guadalupe Area, Mexico","San Nicolás de los Garzas Area, Mexico","Zapopan Area, Mexico","Aguascalientes Area, Mexico",Switzerland,"Lausanne Area, Switzerland","Paris Area, France","Lahore, Pakistan",South Africa,"Caracas Area, Venezuela",Jamaica,"Tepic Area, Mexico",Haiti,"Bolívar Area, Colombia",Hong Kong,"Trujillo Province, Peru",Greater Boston Area,Greater Detroit Area,"Austin, Texas Area","Toronto, Canada Area","Phoenix, Arizona Area",Israel,"Colchagua Province, Chile","Manchester, United Kingdom","Pachitea Province, Peru","Foshan, Guangdong, China",Denmark,"Central Region, Denmark","Hyderabad Area, India","Ahmedabad Area, India","Puebla de Zaragoza Area, Mexico","Nijmegen Area, Netherlands","Charlotte, North Carolina Area","Albany, New York Area",Trinidad and Tobago,Guyana,Barbados,Saint Lucia,Belize,"Ñuble Province, Chile",Philippines,Austria,Austria area,"A Coruña Area, Spain",Bulgaria,"Casablanca Prefecture, Morocco",Poland,"Warsaw, Masovian District, Poland",Bulgaria area,Algeria area,"Yakima, Washington Area","Córdoba Area, Spain","Bengaluru Area, India",Romania,"Frankfurt Am Main Area, Germany","Hannover Area, Germany","Regensburg Area, Germany",Serbia,Greater Philadelphia Area,"Chiclayo Province, Peru","Lima Province, Peru","Gijón Area, Spain","Ciudad López Mateos Area, Mexico","Rio Grande Area, Brazil","Jalandhar Area, India",Malawi,Sweden,"Kocaeli, Turkey","Bursa, Turkey","Istanbul, Turkey",Portugal,"Lisbon Area, Portugal",Norway,"Oslo Area, Norway","Taranto Area, Italy","Gavle, Sweden","Stockholm County, Sweden",Nepal,Ghana,Guinea,"Carabaya Province, Peru","Zürich Area, Switzerland","Burgos Area, Spain","Guárico Area, Venezuela","Leiria Area, Portugal",Greater Denver Area,"São Carlos Area, Brazil","Brasília Area, Brazil","Chiloé Province, Chile","Bío Bío Province, Chile","Cautín Province, Chile","Valdivia Province, Chile","Chacabuco Province, Chile","Durban Area, South Africa","Neuchâtel Area, Switzerland","Almería Area, Spain","Oxapampa Province, Peru","Stockholm, Sweden","Leeds, United Kingdom",Kyrgyzstan,"Recife Area, Brazil","Imperatriz Area, Brazil","Varese Area, Italy","Bolívar Area, Venezuela","Santa Cruz do Rio Pardo Area, Brazil","Táchira Area, Venezuela","Coventry, United Kingdom","West Java Province, Indonesia","Villahermosa Area, Mexico","Boyacá Area, Colombia",Eritrea,"Palembang Area, South Sumatera, Indonesia",Qatar,Zambia,Uganda,Kenya,Tanzania,Zimbabwe,"Cesar Area, Colombia","Sullana Province, Peru","Panama City, Florida Area","Tarragona Area, Spain","Calgary, Canada Area","Ocala, Florida Area","Charleroi Area, Belgium",Anguilla,"Guangzhou, Guangdong, China","Marseille Area, France","Brindisi Area, Italy",Cote D’Ivoire (Ivory Coast),"Rest of Guangdong, China","Aquitaine, France","Jodhpur Area, India","Coatzacoalcos Area, Mexico","Huancayo Province, Peru","Arequipa Province, Peru","Pirassununga Area, Brazil","Iguatu Area, Brazil","La Guajira Area, Colombia","Wichita, Kansas Area","Alta Floresta Area, Brazil","Huelva Area, Spain",Greater Minneapolis-St. Paul Area,"Pordenone Area, Italy","Udine Area, Italy","Hangzhou, Zhejiang, China","Catania Area, Italy","Trieste Area, Italy","León Area, Mexico","Albuquerque, New Mexico Area","Mérida Area, Mexico","Oaxaca de Juárez Area, Mexico",Belarus,"Mérida Area, Venezuela","Surabaya Area, East Java, Indonesia",Tonga,"Sevilla Area, Spain","Pisco Province, Peru","Madeira, Portugal",Puerto Rico,"Gainesville, Florida Area",Puerto Rico area,Tunisia,"Sfax Governorate, Tunisia","Monza and Brianza Area, Italy",Greater San Diego Area,"Pune Area, India","Anzoátegui Area, Venezuela","Taquaritinga Area, Brazil","Wilmington, North Carolina Area","Besançon Area, France","Tubarão Area, Brazil","Florianópolis Area, Brazil","Agadir Ida-Outanane Prefecture, Morocco","Saginaw, Michigan Area","Marbella Area, Spain","Salerno Area, Italy","Avellino Area, Italy","Zaragoza Area, Spain","Altoona, Pennsylvania Area",Washington D.C. Metro Area,"Sorocaba Area, Brazil","Feira de Santana Area, Brazil","Talagante Province, Chile","Digras Area, India","Cuddapah Area, India","Miranda Area, Venezuela","Yaracuy Area, Venezuela","Nueva Esparta Area, Venezuela","Porto Alegre Area, Brazil",Grenada,"Naples Area, Italy","Lewiston/Auburn, Maine Area","Changsha, Hunan, China","Southern Punjab Multan, Pakistan","Kunming, Yunnan, China","Hyderabad, Pakistan","San Martín Province, Peru",Greater Chicago Area,"San Luis Potosí Area, Mexico","Apeldoorn Area, Netherlands","Enschede Area, Netherlands","Gent Area, Belgium","Kreisfreie Stadt Aachen Area, Germany","Eindhoven Area, Netherlands","Tilburg Area, Netherlands","Las Palmas De Gran Canaria Area, Spain","Bordeaux Area, France","Winnipeg, Canada Area","Allentown, Pennsylvania Area","Munich Area, Germany","Lecce Area, Italy","Rome Area, Italy","Ancona Area, Italy","Apure Area, Venezuela","Lara Area, Venezuela","Buffalo/Niagara, New York Area","Boise, Idaho Area","Orange County, California Area","Castelo Branco Area, Portugal","Region IVA - Calabarzon, Philippines","Meknès Prefecture, Morocco","Braga Area, Portugal","The Hague Area, Netherlands","Córdoba Province, Argentina","Region X - Northern Mindanao, Philippines","Tolima Area, Colombia","Shanghai City, China","Tarragona, Spain","Acapulco de Juárez Area, Mexico","McAllen, Texas Area","Natal Area, Brazil","Angers Area, France","Rest of Jiangxi, China","Caraguatatuba Area, Brazil","Goiânia Area, Brazil","Maceió Area, Brazil","Pato Branco Area, Brazil",Moldova,"Urbana-Champaign, Illinois Area","Elqui Province, Chile","Alfenas Area, Brazil",Cameroon,"Bergamo Area, Italy",Sri Lanka,"Columbus, Ohio Area","Shenzhen, Guangdong, China","Huizhou, Guangdong, China","Wuhan, Hubei, China","Chennai Area, India","Namur Area, Belgium","Ticino, Switzerland","Amravati Area, India","Huila Area, Colombia","Tampa/St. Petersburg, Florida Area","Porto Area, Portugal","Aveiro Area, Portugal","Naucalpan de Juárez Area, Mexico","Rio Claro Area, Brazil",Democratic Republic of the Congo,"Cauca Area, Colombia","Brasov County, Romania","Chisinau, Moldova","Ialomita County, Romania",Greater Milwaukee Area,"Kassel Area, Germany","Bari Area, Italy","New Delhi Area, India","Salvador Area, Brazil","Fortaleza Area, Brazil","Birmingham, United Kingdom","Tucuruí Area, Brazil",Korea,"Valladolid Area, Spain","Kitchener, Canada Area","Xiamen, Fujian, China","Qingdao, Shandong, China","Paulo Afonso Area, Brazil","Ribeira do Pombal Area, Brazil","São Luís Area, Brazil","Cabo Frio Area, Brazil",Benin,Greater New Orleans Area,Kosovo,Finland,"Helsinki Area, Finland","Norfolk, Virginia Area","Taunton, United Kingdom","Cambridge, United Kingdom","Portsmouth, United Kingdom","Manaus Area, Brazil","Southern Region, South Jutland, Denmark","New South Wales, Australia","Presidente Prudente Area, Brazil","Las Palmas, Spain",Bhutan,"Hamburg Area, Germany","Toulouse Area, France"
SURFCOECUADOR,18,5,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIDESCOL S. A.,12,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTRACTOS ANDINOS CA,13,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORPORACION TECNICA DE EQUIPOS Y CONSTRUCCIONES COTECEC C LTDA,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSORCIO NOBIS,77,2,,3,,4,,1,,,,,,,1,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
AENORECUADOR,15,,687,,15,,396,18,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
SIDESOFT CIA. LTDA.,16,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAROSEM  , CARVAJAL - AROSEMENA",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOPOGRAFSA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUPTO   GRUPO TORRES,239,3,4,,,1,1,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SECOIN, SEGURIDAD COMERCIAL INDUSTRIAL CIA. LTDA.",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIONTECHNOLOGIE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZABYCA ASOCIADOS CIA. LTDA.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOFTBUILDER CIA. LTDA.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPAÑIA DE ASESORAMIENTO ECONOMICO FINANCIERO Y CONTABILIDAD CAEFYC CIA. LTDA.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIA SOLEX SOINDU,4,,,7,60,40,,,,,,,,,,,,,3,,,,4,,,,,,,,10,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,
TIMBERLINE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
